"location_id","type","name","status"
3206,"SECTOR","Mukura","ACTIVE"
3207,"SECTOR","Murunda","ACTIVE"
3208,"SECTOR","Musasa","ACTIVE"
3209,"SECTOR","Mushonyi","ACTIVE"
3210,"SECTOR","Mushubati","ACTIVE"
3211,"SECTOR","Nyabirasi","ACTIVE"
3212,"SECTOR","Ruhango","ACTIVE"
3213,"SECTOR","Rusebeya","ACTIVE"
3301,"SECTOR","Bugeshi","ACTIVE"
3302,"SECTOR","Busasamana","ACTIVE"
3303,"SECTOR","Cyanzarwe","ACTIVE"
3304,"SECTOR","Gisenyi","ACTIVE"
3305,"SECTOR","Kanama","ACTIVE"
3306,"SECTOR","Kanzenze","ACTIVE"
3307,"SECTOR","Mudende","ACTIVE"
3308,"SECTOR","Nyakiriba","ACTIVE"
3309,"SECTOR","Nyamyumba","ACTIVE"
3310,"SECTOR","Nyundo","ACTIVE"
3311,"SECTOR","Rubavu","ACTIVE"
3312,"SECTOR","Rugerero","ACTIVE"
3401,"SECTOR","Bigogwe","ACTIVE"
3402,"SECTOR","Jenda","ACTIVE"
3403,"SECTOR","Jomba","ACTIVE"
3404,"SECTOR","Kabatwa","ACTIVE"
3405,"SECTOR","Karago","ACTIVE"
3406,"SECTOR","Kintobo","ACTIVE"
3407,"SECTOR","Mukamira","ACTIVE"
3408,"SECTOR","Muringa","ACTIVE"
3409,"SECTOR","Rambura","ACTIVE"
3410,"SECTOR","Rugera","ACTIVE"
3411,"SECTOR","Rurembo","ACTIVE"
3412,"SECTOR","Shyira","ACTIVE"
3501,"SECTOR","Bwira","ACTIVE"
3502,"SECTOR","Gatumba","ACTIVE"
3503,"SECTOR","Hindiro","ACTIVE"
3504,"SECTOR","Kabaya","ACTIVE"
3505,"SECTOR","Kageyo","ACTIVE"
3506,"SECTOR","Kavumu","ACTIVE"
3507,"SECTOR","Matyazo","ACTIVE"
3508,"SECTOR","Muhanda","ACTIVE"
3509,"SECTOR","Muhororo","ACTIVE"
3510,"SECTOR","Ndaro","ACTIVE"
3511,"SECTOR","Ngororero","ACTIVE"
3512,"SECTOR","Nyange","ACTIVE"
3513,"SECTOR","Sovu","ACTIVE"
3601,"SECTOR","Bugarama","ACTIVE"
3602,"SECTOR","Butare","ACTIVE"
3603,"SECTOR","Bweyeye","ACTIVE"
3604,"SECTOR","Gashonga","ACTIVE"
3605,"SECTOR","Giheke","ACTIVE"
3606,"SECTOR","Gihundwe","ACTIVE"
3607,"SECTOR","Gikundamvura","ACTIVE"
3608,"SECTOR","Gitambi","ACTIVE"
3609,"SECTOR","Kamembe","ACTIVE"
3610,"SECTOR","Muganza","ACTIVE"
3611,"SECTOR","Mururu","ACTIVE"
3612,"SECTOR","Nkanka","ACTIVE"
3613,"SECTOR","Nkombo","ACTIVE"
3614,"SECTOR","Nkungu","ACTIVE"
3615,"SECTOR","Nyakabuye","ACTIVE"
3616,"SECTOR","Nyakarenzo","ACTIVE"
3617,"SECTOR","Nzahaha","ACTIVE"
3618,"SECTOR","Rwimbogo","ACTIVE"
3701,"SECTOR","Bushekeri","ACTIVE"
3702,"SECTOR","Bushenge","ACTIVE"
3703,"SECTOR","Cyato","ACTIVE"
3704,"SECTOR","Gihombo","ACTIVE"
3705,"SECTOR","Kagano","ACTIVE"
3706,"SECTOR","Kanjongo","ACTIVE"
3707,"SECTOR","Karambi","ACTIVE"
3708,"SECTOR","Karengera","ACTIVE"
3709,"SECTOR","Kirimbi","ACTIVE"
3710,"SECTOR","Macuba","ACTIVE"
3711,"SECTOR","Mahembe","ACTIVE"
3712,"SECTOR","Nyabitekeri","ACTIVE"
3713,"SECTOR","Rangiro","ACTIVE"
3714,"SECTOR","Ruharambuga","ACTIVE"
3715,"SECTOR","Shangi","ACTIVE"
4101,"SECTOR","Base","ACTIVE"
4102,"SECTOR","Burega","ACTIVE"
4103,"SECTOR","Bushoki","ACTIVE"
4104,"SECTOR","Buyoga","ACTIVE"
4105,"SECTOR","Cyinzuzi","ACTIVE"
4106,"SECTOR","Cyungo","ACTIVE"
4107,"SECTOR","Kinihira","ACTIVE"
4108,"SECTOR","Kisaro","ACTIVE"
4109,"SECTOR","Masoro","ACTIVE"
4110,"SECTOR","Mbogo","ACTIVE"
4111,"SECTOR","Murambi","ACTIVE"
4112,"SECTOR","Ngoma","ACTIVE"
4113,"SECTOR","Ntarabana","ACTIVE"
4114,"SECTOR","Rukozo","ACTIVE"
4115,"SECTOR","Rusiga","ACTIVE"
4116,"SECTOR","Shyorongi","ACTIVE"
4117,"SECTOR","Tumba","ACTIVE"
4201,"SECTOR","Busengo","ACTIVE"
4202,"SECTOR","Coko","ACTIVE"
4203,"SECTOR","Cyabingo","ACTIVE"
4204,"SECTOR","Gakenke","ACTIVE"
4205,"SECTOR","Gashenyi","ACTIVE"
4206,"SECTOR","Janja","ACTIVE"
4207,"SECTOR","Kamubuga","ACTIVE"
4208,"SECTOR","Karambo","ACTIVE"
4209,"SECTOR","Kivuruga","ACTIVE"
4210,"SECTOR","Mataba","ACTIVE"
4211,"SECTOR","Minazi","ACTIVE"
4212,"SECTOR","Mugunga","ACTIVE"
4213,"SECTOR","Muhondo","ACTIVE"
4214,"SECTOR","Muyongwe","ACTIVE"
4215,"SECTOR","Muzo","ACTIVE"
4216,"SECTOR","Nemba","ACTIVE"
4217,"SECTOR","Ruli","ACTIVE"
4218,"SECTOR","Rusasa","ACTIVE"
4219,"SECTOR","Rushashi","ACTIVE"
4301,"SECTOR","Busogo","ACTIVE"
4302,"SECTOR","Cyuve","ACTIVE"
4303,"SECTOR","Gacaca","ACTIVE"
4304,"SECTOR","Gashaki","ACTIVE"
4305,"SECTOR","Gataraga","ACTIVE"
4306,"SECTOR","Kimonyi","ACTIVE"
4307,"SECTOR","Kinigi","ACTIVE"
4308,"SECTOR","Muhoza","ACTIVE"
4309,"SECTOR","Muko","ACTIVE"
4310,"SECTOR","Musanze","ACTIVE"
4311,"SECTOR","Nkotsi","ACTIVE"
4312,"SECTOR","Nyange","ACTIVE"
4313,"SECTOR","Remera","ACTIVE"
4314,"SECTOR","Rwaza","ACTIVE"
4315,"SECTOR","Shingiro","ACTIVE"
4401,"SECTOR","Bungwe","ACTIVE"
4402,"SECTOR","Butaro","ACTIVE"
4403,"SECTOR","Cyanika","ACTIVE"
4404,"SECTOR","Cyeru","ACTIVE"
4405,"SECTOR","Gahunga","ACTIVE"
4406,"SECTOR","Gatebe","ACTIVE"
4407,"SECTOR","Gitovu","ACTIVE"
4408,"SECTOR","Kagogo","ACTIVE"
4409,"SECTOR","Kinoni","ACTIVE"
4410,"SECTOR","Kinyababa","ACTIVE"
4411,"SECTOR","Kivuye","ACTIVE"
4412,"SECTOR","Nemba","ACTIVE"
4413,"SECTOR","Rugarama","ACTIVE"
4414,"SECTOR","Rugengabari","ACTIVE"
4415,"SECTOR","Ruhunde","ACTIVE"
4416,"SECTOR","Rusarabuye","ACTIVE"
4417,"SECTOR","Rwerere","ACTIVE"
4501,"SECTOR","Bukure","ACTIVE"
4502,"SECTOR","Bwisige","ACTIVE"
4503,"SECTOR","Byumba","ACTIVE"
4504,"SECTOR","Cyumba","ACTIVE"
4505,"SECTOR","Giti","ACTIVE"
4506,"SECTOR","Kageyo","ACTIVE"
4507,"SECTOR","Kaniga","ACTIVE"
4508,"SECTOR","Manyagiro","ACTIVE"
4509,"SECTOR","Miyove","ACTIVE"
4510,"SECTOR","Mukarange","ACTIVE"
4511,"SECTOR","Muko","ACTIVE"
4512,"SECTOR","Mutete","ACTIVE"
4513,"SECTOR","Nyamiyaga","ACTIVE"
4514,"SECTOR","Nyankenke","ACTIVE"
4515,"SECTOR","Rubaya","ACTIVE"
4516,"SECTOR","Rukomo","ACTIVE"
4517,"SECTOR","Rushaki","ACTIVE"
4518,"SECTOR","Rutare","ACTIVE"
4519,"SECTOR","Ruvune","ACTIVE"
4520,"SECTOR","Rwamiko","ACTIVE"
4521,"SECTOR","Shangasha","ACTIVE"
5101,"SECTOR","Fumbwe","ACTIVE"
5102,"SECTOR","Gahengeri","ACTIVE"
5103,"SECTOR","Gishali","ACTIVE"
5104,"SECTOR","Karenge","ACTIVE"
5105,"SECTOR","Kigabiro","ACTIVE"
5106,"SECTOR","Muhazi","ACTIVE"
5107,"SECTOR","Munyaga","ACTIVE"
5108,"SECTOR","Munyiginya","ACTIVE"
